experiment,item_type,form,meaning,foils,hypothesis
1,control,katai,HARD,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,not iconic
1,control,pyoNpyoN,BOUNCING|HOPPING,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,control,hisohiso,WHISPERING,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,motyokoi,TICKLING,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,saku,TEAR|RIP,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,semai,CRAMPED|TIGHT,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,suu,SUCK,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,boNyari,FUZZY|BLURRY|HAZY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,ookii,BIG|MASSIVE|LARGE|HUGE,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,zoNzoN,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
2,trial,maNpuku,STUFFED (FROM EATING TOO MUCH)|FULL (FROM EATING),yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,not iconic
3,trial,iQpai,FULL (TO THE BRIM)|FULL (TO BURSTING),yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
3,trial,kiiN,RINGING (E.G. A RINGING SOUND IN YOUR EARS),yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
3,trial,yagurasyika,LOUD|NOISY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
3,trial,kyuukutsuka,TIGHT|PINCHING,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|hetoheto|yakiyaki|nurunuru|geNki,iconic
3,trial,hetoheto,EXHAUSTED|TIRED|WEARY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|yakiyaki|nurunuru|geNki,iconic
3,trial,yakiyaki,ANNOYED|IMPATIENT,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|nurunuru|geNki,iconic
3,trial,nurunuru,SLIMY|SLIPPERY|SLICK,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|geNki,iconic
3,trial,geNki,LIVELY|ENERGETIC,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru,not iconic
