experiment,item_type,form,meaning,foils,hypothesis
1,trial,kankan3,CLANGING|CLAMORING|BANGING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,kirakira,SPARKLING|GLITTERING|TWINKLING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,debudebu,FAT|PUDGY|DUMPY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,ujauja,SQUIRMING|WRIGGLING|FIDGETY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,gojagoja,JUMBLED UP|MIXED UP|MUDDLED UP,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,korokoro,ROLLING|TURNING|SPINNING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,hiyahiya,RELIEVED|CLOSE CALL|PHEW,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,shikkari,TIGHTLY|FIRMLY|SECURELY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,bukubuku2,ROUND|SWOLLEN|BLOATED,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,chikuchiku,PRICKLING|STINGING|TINGLING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,kunekune,WINDING|TWISTING|TWIRLING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,boroboro,SLOPPILY|CRUMBLING|MESSILY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,berabera2,TEARING|SHREDDING|RIPPING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,buruburu,COLD|CHILLY|FREEZING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,hokahoka,STEAMING HOT|PIPING HOT|SCALDING HOT,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,wanwan,CRYING|BAWLING|HOWLING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,bukubuku,CHUBBY|PUDGY|FAT,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,morimori,MUSCLY|BUFF|BULKY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,kebakeba,FUZZY|FRIZZY|FRAZZLED,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,dokidoki,ANXIOUS|AFRAID|NERVOUS,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,nikoniko-nomosaic,SMILING|BEAMING|GRINNING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,hisohiso,WHISPERING|HUSHED|QUIETLY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,mojimoji,RESTLESS|FIDGETY|SQUIRMING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,kankan,BLAZING|BRIGHT|DAZZLING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,gojagoja2,JUMBLED UP|MIXED UP|MUDDLED UP,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,kankan2,ANGRY|FURIOUS|MAD,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,kachikachi,HARD|SOLID|FIRM,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,wakuwaku,EXCITED|CHEERFUL|UPBEAT,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,nurunuru,SLIMY|SLIPPERY|GREASY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,harahara,FLUTTERING|DRIFTING|SINKING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,gizagiza,ZIG-ZAG|JAGGED|SHARP EDGED,honnori|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,morimori2,GOBBLING|GORGING (ON FOOD)|PIGGING OUT,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
2,trial,gokugoku,GULPING|GUZZLING|DRINKING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|morimori3|berabera|ukiuki|gayagaya,none
2,trial,morimori3,LUMPY|IN A MOUND|PILED UP,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|berabera|ukiuki|gayagaya,none
2,trial,berabera,BLABBING ON |PRATTLING ON|CHATTERING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|ukiuki|gayagaya,none
2,trial,ukiuki,EXCITED|CHEERFUL|UPBEAT,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|gayagaya,none
2,trial,gayagaya,LOUD|HUBBUB|NOISY,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki,none
